item_id,image_path,gender,master_category,sub_category,article_type,base_colour,season,usage,product_name
15970,deploy_data/images/15970.jpg,Men,Apparel,Topwear,Shirts,Navy Blue,Fall,Casual,Turtle Check Men Navy Blue Shirt
39386,deploy_data/images/39386.jpg,Men,Apparel,Bottomwear,Jeans,Blue,Summer,Casual,Peter England Men Party Blue Jeans
59263,deploy_data/images/59263.jpg,Women,Accessories,Watches,Watches,Silver,Winter,Casual,Titan Women Silver Watch
21379,deploy_data/images/21379.jpg,Men,Apparel,Bottomwear,Track Pants,Black,Fall,Casual,Manchester United Men Solid Black Track Pants
53759,deploy_data/images/53759.jpg,Men,Apparel,Topwear,Tshirts,Grey,Summer,Casual,Puma Men Grey T-shirt
1855,deploy_data/images/1855.jpg,Men,Apparel,Topwear,Tshirts,Grey,Summer,Casual,Inkfruit Mens Chain Reaction T-shirt
30805,deploy_data/images/30805.jpg,Men,Apparel,Topwear,Shirts,Green,Summer,Ethnic,Fabindia Men Striped Green Shirt
26960,deploy_data/images/26960.jpg,Women,Apparel,Topwear,Shirts,Purple,Summer,Casual,Jealous 21 Women Purple Shirt
29114,deploy_data/images/29114.jpg,Men,Accessories,Socks,Socks,Navy Blue,Summer,Casual,Puma Men Pack of 3 Socks
30039,deploy_data/images/30039.jpg,Men,Accessories,Watches,Watches,Black,Winter,Casual,Skagen Men Black Watch
9204,deploy_data/images/9204.jpg,Men,Footwear,Shoes,Casual Shoes,Black,Summer,Casual,Puma Men Future Cat Remix SF Black Casual Shoes
48123,deploy_data/images/48123.jpg,Women,Accessories,Belts,Belts,Black,Summer,Casual,Fossil Women Black Huarache Weave Belt
18653,deploy_data/images/18653.jpg,Men,Footwear,Flip Flops,Flip Flops,Black,Fall,Casual,Fila Men Cush Flex Black Slippers
47957,deploy_data/images/47957.jpg,Women,Accessories,Bags,Handbags,Blue,Summer,Casual,Murcia Women Blue Handbag
46885,deploy_data/images/46885.jpg,Boys,Footwear,Flip Flops,Flip Flops,Navy Blue,Fall,Casual,Ben 10 Boys Navy Blue Slippers
12369,deploy_data/images/12369.jpg,Men,Apparel,Topwear,Shirts,Purple,Fall,Formal,Reid & Taylor Men Check Purple Shirts
29928,deploy_data/images/29928.jpg,Men,Accessories,Watches,Watches,Black,Winter,Casual,Police Men Black Dial Watch PL12889JVSB
42419,deploy_data/images/42419.jpg,Girls,Apparel,Topwear,Tops,White,Summer,Casual,Gini and Jony Girls Knit White Top
51832,deploy_data/images/51832.jpg,Women,Apparel,Innerwear,Bra,Beige,Summer,Casual,Bwitch Beige Full-Coverage Bra BW335
47359,deploy_data/images/47359.jpg,Women,Accessories,Bags,Handbags,Brown,Summer,Casual,Baggit Women Brown Handbag
17429,deploy_data/images/17429.jpg,Men,Accessories,Watches,Watches,Black,Winter,Casual,CASIO G-Shock Men Black Digital Watch G-7710-1DR G223
12967,deploy_data/images/12967.jpg,Men,Footwear,Sandal,Sandals,Black,Fall,Casual,ADIDAS Men Spry M Black Sandals
6842,deploy_data/images/6842.jpg,Unisex,Accessories,Shoe Accessories,Shoe Accessories,Black,Summer,Casual,Timberland Unisex Rubber Sole Brush Shoe Accessories
13089,deploy_data/images/13089.jpg,Men,Apparel,Topwear,Sweatshirts,Grey,Fall,Sports,ADIDAS Men Lfc Auth Hood Grey Sweatshirts
18461,deploy_data/images/18461.jpg,Men,Personal Care,Fragrance,Deodorant,White,Spring,Casual,David Beckham Signature Men Deos
9036,deploy_data/images/9036.jpg,Men,Footwear,Shoes,Formal Shoes,Black,Winter,Formal,Buckaroo Men Flores Black Formal Shoes
48311,deploy_data/images/48311.jpg,Women,Accessories,Jewellery,Bracelet,Bronze,Winter,Casual,Pitaraa Women Bronze Beaded Bracelet
7990,deploy_data/images/7990.jpg,Men,Apparel,Topwear,Tshirts,Navy Blue,Fall,Sports,Fila Men's Round Neck Navy Blue T-shirt
56019,deploy_data/images/56019.jpg,Women,Personal Care,Lips,Lipstick,Brown,Spring,Casual,Colorbar Soft Touch Show Stopper Copper Lipstick 037
21977,deploy_data/images/21977.jpg,Women,Accessories,Bags,Handbags,Brown,Winter,Casual,Murcia Women Casual Brown Handbag
37812,deploy_data/images/37812.jpg,Men,Apparel,Topwear,Shirts,Navy Blue,Summer,Formal,John Players Men Navy Blue Shirt
4729,deploy_data/images/4729.jpg,Boys,Apparel,Topwear,Tshirts,Green,Summer,Casual,Disney Kids Boy's Crew Sea Life Sialing Green Teen Kidswear
56825,deploy_data/images/56825.jpg,Men,Apparel,Topwear,Shirts,Brown,Summer,Casual,John Players Men Brown Shirt
39988,deploy_data/images/39988.jpg,Men,Footwear,Shoes,Casual Shoes,White,Winter,Casual,Gas Men Europa White Shoes
59051,deploy_data/images/59051.jpg,Women,Footwear,Shoes,Flats,Black,Winter,Casual,Carlton London Women Black & Gold Toned Flats
20099,deploy_data/images/20099.jpg,Women,Apparel,Topwear,Kurtas,Green,Fall,Ethnic,Diva Women Embroided Green Kurta
58183,deploy_data/images/58183.jpg,Women,Accessories,Bags,Handbags,White,Summer,Casual,Rocky S Women White Handbag
29742,deploy_data/images/29742.jpg,Women,Accessories,Bags,Handbags,Teal,Summer,Casual,Kiara Women Teal Handbag
51658,deploy_data/images/51658.jpg,Women,Accessories,Watches,Watches,Copper,Winter,Casual,Fossil Women Copper Chronograph Watch CH2589
3954,deploy_data/images/3954.jpg,Women,Apparel,Topwear,Tshirts,Pink,Summer,Casual,Jealous 21 Women's Pink T-shirt
18839,deploy_data/images/18839.jpg,Men,Accessories,Belts,Belts,Black,Fall,Formal,Peter England Men Formal Black Belt
2886,deploy_data/images/2886.jpg,Women,Footwear,Shoes,Flats,Brown,Winter,Casual,Catwalk Women Leather Brown Flats
23278,deploy_data/images/23278.jpg,Men,Accessories,Watches,Watches,Off White,Winter,Casual,Maxima Ssteele Men Off White Watch
28690,deploy_data/images/28690.jpg,Women,Apparel,Topwear,Kurtas,Beige,Summer,Ethnic,W Women Printed Beige Kurta
8580,deploy_data/images/8580.jpg,Men,Apparel,Topwear,Waistcoat,Grey,Fall,Casual,Scullers Men  Grey Waistcoat
3168,deploy_data/images/3168.jpg,Men,Footwear,Shoes,Sports Shoes,White,Fall,Sports,Nike Men's Incinerate MSL White Blue Shoe
18005,deploy_data/images/18005.jpg,Men,Apparel,Bottomwear,Shorts,Black,Summer,Sports,Puma Men Long Logo Black Bermuda
17871,deploy_data/images/17871.jpg,Men,Apparel,Innerwear,Briefs,Maroon,Winter,Casual,Levis Men Boxer Maroon Brief
